GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200790212700","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212700",,,"Census Tract 2127, Luzerne County, Pennsylvania",5041,4541,347,0,37,0,0,116,14,102,32688,548,"Census Tract 2127, Luzerne County, Pennsylvania",323,362,227,109,54,109,109,142,24,121,10195,88
"G4200790212800","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212800",,,"Census Tract 2128, Luzerne County, Pennsylvania",3774,3679,7,0,51,0,0,37,0,37,56607,798,"Census Tract 2128, Luzerne County, Pennsylvania",316,308,11,109,53,109,109,58,109,58,4066,47
"G4200790212900","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212900",,,"Census Tract 2129, Luzerne County, Pennsylvania",1205,1146,0,0,37,0,0,22,7,15,45529,594,"Census Tract 2129, Luzerne County, Pennsylvania",199,177,109,109,55,109,109,36,12,25,10017,99
"G4200790213000","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213000",,,"Census Tract 2130, Luzerne County, Pennsylvania",1548,1519,19,0,0,0,0,10,0,10,37548,648,"Census Tract 2130, Luzerne County, Pennsylvania",188,178,32,109,109,109,109,16,109,16,6206,140
"G4200790213100","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213100",,,"Census Tract 2131, Luzerne County, Pennsylvania",1676,1571,59,0,0,0,26,20,20,0,26136,557,"Census Tract 2131, Luzerne County, Pennsylvania",186,166,44,109,109,109,36,30,30,109,12804,91
"G4200790213200","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213200",,,"Census Tract 2132, Luzerne County, Pennsylvania",4801,4407,85,0,78,0,105,126,0,126,28402,588,"Census Tract 2132, Luzerne County, Pennsylvania",18,198,87,109,100,109,131,92,109,92,3859,271
"G4200790213300","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213300",,,"Census Tract 2133, Luzerne County, Pennsylvania",1679,1662,0,0,9,0,0,8,0,8,46333,575,"Census Tract 2133, Luzerne County, Pennsylvania",100,104,109,109,9,109,109,11,109,11,4373,297
"G4200790213400","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213400",,,"Census Tract 2134, Luzerne County, Pennsylvania",4516,4251,221,0,15,0,0,29,0,29,36354,697,"Census Tract 2134, Luzerne County, Pennsylvania",18,173,147,109,24,109,109,47,109,47,6203,55
"G4200790213600","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213600",,,"Census Tract 2136, Luzerne County, Pennsylvania",2284,2169,31,0,7,0,59,18,0,18,23676,455,"Census Tract 2136, Luzerne County, Pennsylvania",220,215,34,109,10,109,51,23,109,23,8094,45
"G4200790213700","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213700",,,"Census Tract 2137, Luzerne County, Pennsylvania",2304,2094,172,0,0,0,38,0,0,0,37234,823,"Census Tract 2137, Luzerne County, Pennsylvania",197,204,207,109,109,109,52,109,109,109,6213,137
"G4200790213800","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213800",,,"Census Tract 2138, Luzerne County, Pennsylvania",1424,1387,0,0,37,0,0,0,0,0,30272,764,"Census Tract 2138, Luzerne County, Pennsylvania",208,208,109,109,62,109,109,109,109,109,5623,119
"G4200790213900","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"213900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079213900",,,"Census Tract 2139, Luzerne County, Pennsylvania",1738,1723,0,0,0,0,0,15,0,15,49886,638,"Census Tract 2139, Luzerne County, Pennsylvania",139,135,109,109,109,109,109,23,109,23,8634,141
"G4200790214000","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"214000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079214000",,,"Census Tract 2140, Luzerne County, Pennsylvania",1086,1044,31,0,11,0,0,0,0,0,45500,569,"Census Tract 2140, Luzerne County, Pennsylvania",134,118,52,109,17,109,109,109,109,109,14462,95
